id,EA_HAB,EA_LIT,EA_MAL,EA_JOUE,EA_AID,EA_EMM,EA_SATTACHE,OA_VAISS,OA_REPAS,OA_ALIME,OA_LINGE,OA_ASPIR,OA_BRICO,OA_COMPT,OA_INVIT,OA_SATREP,OB_DACHQUO,OB_DACHEX,OB_DEDUC,OB_DLOISIR,OB_GESTION,OC_SATREL,OC_DESTAC,VA_MARIDEP,VA_COHAB,VA_MARITJS,VA_DIVORC,VA_FEMENF,VA_HOMENF,VA_DEUXPAR,VA_MERSEUL,VA_EFTAUTO,VA_DROITHOMO,VA_GPOCCPE,VA_PARAIDENF,VA_PARENCH,VA_ENRESPAR,VA_ENFCH,VA_FILLEFILS,VA_ENFAIDPAR,VA_ACCPAR,VA_DIFFAGE,VA_REVFE,VA_DEPFE,VA_FOYEPAN,VA_HOMPOL,VA_ENFMERAC,VA_ENFPERAC,VA_DIVGARD,VA_HOMPRIO,VA_PARPRIO,VA_JEUPRIO,VA_QPERSAGE,VA_QENFPS,VA_QENFSCO,VA_QFINPERSA,VA_QFINPAREN,MA_AGEMQ,MC_DIPLOME,PF_PCSM8,PF_PCSP8,CA_DIPLOME,EA_VERIFC,poids12,PA_DURMTRA,PB_DURMTRA,MA_SEXE,AH_CS8,PF_AGEDEPFOY_rec,PF_AVECQUI_rec,PE_NBFSV_rec,PA_VERIFCOH_rec,PA_FQAVM_rec,PB_FQAVP_rec,PA_MEREBV_rec,PB_PEREBV_rec,TYPFAM3_rec,EA_ADULT16_rec,NBENF14_rec,NBENF3_rec,MA_ACT_rec,NBENFTOTM_rec,EA_AUTPERS_rec,OA_AUTPERS_rec,MA_AGEM_rec
6566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,3,3,1,3,3,1,2,3,5,2,5,5,3,3,5,5,2,1,4,5,5,3,3,3,3,3,3,3,2,2,5,7,NA,6,NA,2,6894.555373,NA,NA,2,4,NA,1,3,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,22
6567,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,4,5,1,3,8,3,3,NA,3,6,9,3,5,1,1,1,2,2,1,5,3,5,2,2,5,1,5,5,1,2,3,5,1,1,5,1,2,3,5,1,2,4,5,5,4,5,6,7,NA,6,5,1,4070.500053,30,30,2,5,23,1,1,4,2,2,1,1,3,2,2,2,2,0,NA,3,25
6568,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,5,3,3,10,3,3,NA,3,3,10,1,2,2,2,2,3,3,1,1,4,3,1,3,4,2,5,2,5,3,2,3,5,1,3,1,2,3,5,2,5,3,2,2,1,1,14,2,NA,6,2,1,4290.296244,NA,NA,2,7,21,1,5,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,67
6569,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,4,3,3,5,3,3,2,3,3,7,3,4,2,5,5,1,1,1,1,1,5,5,2,5,1,5,5,1,2,1,5,1,4,5,2,1,2,5,2,2,3,5,5,5,4,11,2,NA,6,4,1,5295.987895,20,NA,2,6,21,1,1,4,2,NA,1,2,4,1,2,2,2,1,NA,3,52
6570,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,1,1,3,6,2,1,NA,4,3,1,3,1,3,3,2,4,2,2,3,5,3,2,4,2,2,3,5,3,2,4,2,2,4,2,2,3,5,3,5,2,2,4,2,2,4,12,5,NA,6,6,1,3512.758279,50,NA,1,4,19,1,2,4,1,NA,1,2,3,2,2,2,2,0,NA,3,56
6571,2,2,3,3,3,3,7,1,1,1,1,1,5,1,1,6,1,1,3,3,3,7,3,4,1,1,1,2,2,2,4,4,4,2,2,2,2,5,4,1,5,3,4,2,2,2,4,4,3,4,4,4,3,4,1,3,5,8,8,NA,6,8,1,3514.105163,5,5,2,4,23,1,1,4,2,2,1,1,4,2,1,2,2,2,3,3,37
6572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,2,4,1,1,4,2,4,4,2,4,5,2,4,4,4,1,1,4,4,4,2,4,4,2,3,4,4,4,4,5,4,NA,NA,NA,2,6938.686263,NA,NA,1,6,NA,5,NA,3,NA,NA,NA,3,5,1,2,2,2,0,NA,NA,23
6573,3,3,4,3,3,3,10,3,4,3,5,3,1,1,3,10,3,3,3,3,3,10,1,5,1,3,1,4,4,1,2,2,2,4,3,4,3,4,4,3,2,5,5,1,1,5,4,4,4,5,5,3,3,2,3,1,1,9,5,4,3,5,1,6011.917799,75,75,1,4,19,1,1,4,1,1,1,1,4,2,1,2,2,2,3,3,41
6574,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,5,3,3,8,2,3,NA,3,5,9,1,2,2,5,1,5,5,4,2,3,2,2,1,2,3,5,5,3,4,3,5,1,9,4,5,2,5,5,5,5,5,5,3,1,3,10,7,2,2,7,1,3530.700952,10,NA,2,4,23,1,1,4,2,NA,1,2,3,2,2,2,2,0,NA,3,49
6575,5,5,4,3,3,3,8,3,4,4,5,4,1,3,4,8,3,3,3,3,3,8,2,4,2,3,2,2,2,1,3,2,3,2,2,2,2,2,5,1,3,1,3,2,4,4,2,3,3,3,2,5,3,3,3,1,1,10,7,1,1,7,1,3466.711467,35,35,1,6,27,1,4,4,2,2,1,1,4,1,1,2,2,3,3,3,48
6576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,9,1,9,9,1,5,1,9,1,1,1,1,5,5,1,5,5,5,9,9,1,5,5,5,5,5,5,9,5,5,1,9,14,3,1,1,NA,2,3052.974933,NA,NA,2,7,22,1,4,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,65
6577,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,3,4,3,3,10,3,3,NA,3,4,9,1,5,2,1,1,4,4,2,2,2,2,2,4,5,2,5,5,2,4,4,5,1,4,2,5,5,5,5,5,5,4,2,2,3,3,6,8,4,4,7,1,4074.444732,15,15,2,4,22,1,1,4,2,2,1,1,3,2,2,2,2,0,NA,3,28
6578,NA,NA,NA,NA,NA,NA,NA,3,5,4,7,7,3,1,3,9,5,3,NA,3,1,8,2,5,1,2,1,1,1,1,1,2,4,1,1,1,1,5,5,5,5,2,5,1,3,5,3,4,1,5,5,5,2,5,5,4,4,14,8,NA,3,8,1,2588.72936,NA,NA,1,7,24,1,2,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,66
6579,8,8,4,4,3,3,10,5,5,3,5,3,3,3,3,10,3,3,3,3,3,NA,1,5,3,1,1,1,1,1,1,1,5,1,1,4,2,5,2,1,9,1,2,2,2,4,2,3,1,5,2,5,1,5,5,1,3,9,1,6,6,4,1,3746.32756,15,NA,2,1,16,1,1,4,2,NA,1,2,4,1,1,2,2,2,1,1,42
6580,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,3,2,5,3,8,4,3,NA,3,4,NA,2,3,1,3,1,1,4,1,4,1,4,1,2,5,2,4,5,2,2,5,5,1,1,5,3,3,5,5,5,5,3,4,3,3,4,7,7,NA,6,5,1,6226.964558,240,240,1,3,18,1,2,4,1,1,1,1,3,2,2,2,2,0,NA,1,34
6581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,5,1,1,1,2,4,3,1,1,2,1,5,5,1,1,1,4,5,4,5,1,1,2,1,2,3,5,5,5,3,2,14,4,2,2,NA,2,3029.225335,NA,NA,2,8,18,1,3,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,67
6582,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,2,2,3,10,3,3,3,3,3,10,2,1,3,5,1,5,5,1,3,1,1,1,2,2,1,3,3,1,1,3,5,1,1,5,3,3,2,4,1,2,2,4,4,1,1,10,8,2,2,6,1,8266.030614,90,90,1,8,19,1,2,4,2,2,1,1,4,1,2,2,2,1,NA,3,49
6583,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,7,1,4,3,9,4,1,NA,3,3,NA,1,1,1,5,1,2,2,1,5,1,5,2,2,4,2,5,5,5,2,1,5,4,4,5,2,1,4,4,2,4,4,5,5,5,5,14,4,5,6,6,1,3698.419186,NA,NA,1,7,22,1,0,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,66
6584,5,3,5,3,3,5,8,5,5,3,5,5,1,1,3,8,3,3,3,3,1,8,1,5,1,4,2,5,5,1,1,1,5,9,5,5,5,5,5,2,2,5,5,1,1,5,5,5,1,5,5,2,4,4,4,2,2,7,7,5,6,1,1,3995.868593,90,90,1,4,24,1,1,4,1,1,1,1,4,2,1,2,2,2,3,3,30
6585,1,3,1,3,3,3,10,3,1,1,1,1,5,1,3,10,3,3,3,3,3,10,3,4,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,4,4,3,1,4,2,2,2,3,3,3,2,3,3,2,2,6,4,NA,6,4,1,3533.041012,3,NA,2,5,18,1,2,4,2,NA,1,2,4,2,1,1,2,3,3,3,25
6586,8,8,8,8,8,5,9,5,3,1,1,4,5,5,1,10,1,3,3,3,3,NA,3,5,3,1,1,4,4,1,2,5,5,2,4,4,5,5,5,5,2,1,5,1,1,5,5,9,5,5,5,5,4,4,4,1,2,10,4,5,6,4,1,3498.576836,2,2,2,4,25,1,3,4,2,2,1,1,4,1,1,2,2,3,2,2,45
6587,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,2,4,9,2,3,NA,3,3,NA,2,5,1,1,1,1,1,1,1,1,1,2,2,5,2,5,5,1,1,3,5,1,2,5,1,2,3,5,5,5,3,3,4,3,2,6,8,NA,1,6,1,24547.78657,600,600,2,8,20,1,2,4,1,1,1,1,3,2,2,2,2,0,NA,1,25
6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,1,1,3,3,1,1,3,4,1,2,1,1,1,2,2,3,1,2,4,5,5,6,NA,2,5180.806828,NA,NA,2,5,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,19
6589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,1,5,5,5,5,1,5,1,5,4,5,1,1,1,14,3,4,6,NA,2,4174.752765,NA,NA,2,7,14,1,1,4,NA,NA,2,2,5,1,2,2,2,0,NA,NA,68
6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,5,1,1,1,5,5,1,1,1,1,5,4,5,4,5,5,4,3,5,3,2,5,3,2,1,2,4,2,4,3,4,3,4,2,6,6,NA,5,NA,2,3281.37954,60,60,1,5,19,1,2,4,1,1,1,1,1,2,2,2,2,0,NA,NA,28
6591,4,3,4,2,4,4,10,4,4,2,4,4,2,2,3,10,3,3,3,3,3,NA,1,4,1,2,1,4,3,1,5,4,1,1,1,1,1,1,5,1,1,5,5,3,3,3,5,5,3,3,3,3,5,5,5,5,5,10,5,NA,4,4,1,3462.47538,210,420,1,4,17,1,4,4,1,1,1,1,4,2,1,1,2,4,3,3,47
6592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,1,1,1,1,1,1,5,1,1,5,1,5,1,1,5,1,5,1,1,1,1,1,4,1,1,1,2,5,5,5,9,15,2,NA,5,NA,2,2626.589347,NA,NA,2,8,17,1,3,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,74
6593,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,7,3,3,7,5,3,NA,3,3,NA,1,5,2,2,2,3,3,1,2,2,5,2,3,5,1,9,5,9,9,3,5,1,1,2,2,2,3,5,2,2,5,5,5,9,2,10,2,1,1,9,1,5382.208461,NA,NA,1,1,NA,1,3,1,NA,NA,NA,NA,3,1,2,2,2,0,NA,2,49
6594,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,1,3,3,3,10,3,3,4,3,5,8,1,3,1,5,1,1,1,1,5,1,5,5,3,5,5,5,5,5,5,3,5,1,4,5,5,2,3,5,5,5,3,5,4,2,2,10,4,NA,3,1,1,5365.74713,90,90,2,5,20,1,3,4,0,0,1,1,4,1,2,2,2,1,NA,3,47
6595,1,1,1,1,1,1,9,1,1,1,1,1,3,1,1,6,1,3,1,1,3,NA,2,4,3,5,1,2,2,5,1,4,4,5,2,3,2,5,5,2,4,2,1,2,2,5,1,2,1,1,1,2,3,5,5,3,3,8,1,6,6,4,1,6198.806371,600,NA,2,8,18,1,1,4,1,NA,1,2,4,2,1,2,2,1,3,2,39
6596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,2,3,2,3,2,2,2,2,2,2,4,4,4,4,1,2,1,2,3,3,2,1,4,3,3,5,3,4,4,4,12,4,NA,2,NA,2,1992.204966,NA,NA,2,5,21,1,3,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,55
6597,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,3,5,3,8,3,3,NA,3,3,NA,1,5,1,5,1,1,2,1,1,2,4,2,1,3,1,3,5,1,1,3,5,3,2,3,2,2,1,5,2,5,3,5,5,9,9,7,8,5,6,8,1,6160.553177,180,NA,2,6,24,1,2,4,1,NA,1,2,3,2,2,2,2,0,NA,3,32
6598,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,5,1,2,10,1,3,3,3,1,10,1,5,1,2,2,1,1,1,1,1,9,1,2,2,2,5,5,3,1,5,5,5,1,5,2,1,5,5,2,1,4,5,2,1,1,11,3,NA,NA,4,1,5409.890795,NA,30,2,8,16,2,5,4,NA,1,2,1,4,1,2,2,2,2,NA,3,52
6599,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,5,3,9,1,3,1,3,3,9,1,3,2,5,1,2,2,2,3,3,2,2,3,3,3,5,5,3,3,5,4,4,1,5,3,3,3,5,4,4,3,4,4,1,2,9,2,1,1,6,1,6159.327587,90,90,2,5,19,1,4,4,1,1,1,1,4,1,2,2,2,1,NA,3,44
6600,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,1,1,3,10,4,1,NA,3,3,NA,1,5,1,5,1,1,1,1,5,1,5,1,2,1,1,4,5,1,1,5,5,1,9,5,5,1,5,5,1,1,3,5,4,3,2,12,6,5,6,6,1,2736.448374,140,NA,1,4,21,1,NA,4,2,NA,1,2,3,2,2,2,2,0,NA,1,55
6601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,2,1,1,5,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,14,2,NA,6,NA,2,3366.130146,NA,NA,1,7,19,1,5,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,67
6602,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,3,1,1,3,3,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,5,5,1,1,5,5,1,1,1,1,1,3,4,4,2,2,8,2,5,6,2,1,3527.358358,NA,NA,2,5,18,6,2,4,NA,NA,2,2,4,2,1,2,2,3,3,3,39
6603,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,5,1,1,10,1,3,2,3,3,10,1,3,1,2,2,3,3,1,1,3,3,1,3,3,2,3,5,3,1,1,2,3,1,3,2,4,3,1,1,1,5,5,5,3,3,11,2,1,1,4,1,3556.573843,NA,NA,2,5,16,1,5,4,NA,NA,2,2,4,2,2,2,2,1,NA,3,52
6604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,1,1,1,2,1,3,1,1,2,5,2,1,3,3,1,1,9,1,1,2,5,2,5,5,5,5,3,3,14,4,NA,NA,NA,2,2726.990111,NA,NA,2,7,7,5,2,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,68
6605,NA,NA,NA,NA,NA,NA,NA,5,1,2,1,5,5,1,3,10,2,3,NA,3,3,NA,1,5,3,1,1,1,1,1,3,5,3,1,1,2,1,5,5,1,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,1,1,14,3,NA,NA,4,1,2052.010929,480,NA,2,7,2,5,5,4,1,NA,1,2,3,2,2,2,2,0,NA,1,66
6606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,1,1,1,3,1,5,4,2,4,2,4,4,3,4,3,3,3,3,4,2,1,3,3,2,2,5,5,5,5,5,15,8,NA,2,NA,2,1200.861353,NA,NA,1,7,18,1,5,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,71
6607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,3,3,5,1,3,3,3,2,3,2,3,2,3,5,5,5,3,5,3,3,2,3,3,2,5,3,3,3,3,3,5,3,1,1,11,4,NA,NA,NA,2,3677.625207,9999,NA,2,5,0,6,NA,4,9,NA,1,2,2,1,2,2,2,1,NA,NA,51
6608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,2,2,2,1,1,1,3,1,1,3,2,1,2,2,2,3,3,1,1,4,5,4,2,2,2,4,4,4,4,2,1,12,1,NA,2,NA,2,3303.582517,NA,NA,1,7,20,1,2,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,56
6609,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,5,5,3,3,10,2,3,NA,3,3,NA,1,2,2,2,2,1,1,1,2,1,2,1,2,2,3,4,4,3,4,5,5,3,1,3,2,1,3,1,2,3,3,4,4,2,1,14,2,6,5,2,1,4321.501202,10,NA,2,7,24,1,5,4,2,NA,1,2,3,2,2,2,2,0,NA,1,68
6610,8,8,3,3,2,3,10,4,4,3,5,4,2,3,3,10,3,3,3,3,3,10,1,5,3,3,1,2,1,1,5,4,5,1,1,2,5,5,5,2,2,3,4,4,2,3,3,2,5,2,2,2,3,5,4,2,5,9,8,NA,NA,5,1,3818.515474,NA,NA,1,3,18,1,5,4,NA,NA,2,2,4,2,1,2,2,2,3,3,42
6611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,3,3,1,4,3,4,2,2,4,2,5,5,2,1,3,3,3,2,2,2,2,3,3,3,3,3,4,2,2,2,5,8,NA,4,NA,2,6963.328229,NA,NA,1,8,NA,1,1,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,22
6612,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,5,2,3,10,1,3,NA,3,3,9,1,5,2,2,2,3,3,1,2,2,5,3,2,1,1,3,4,1,1,3,3,3,2,5,2,3,2,5,2,4,5,5,5,5,5,12,2,5,6,8,1,4707.217353,NA,NA,2,5,30,4,5,4,NA,NA,2,3,3,2,2,2,2,0,NA,3,56
6613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,2,2,1,5,2,5,1,1,4,2,5,5,2,2,3,2,3,2,2,2,3,5,2,2,2,4,5,5,2,2,6,8,NA,6,NA,2,3459.591331,150,150,1,4,18,1,4,4,1,1,1,1,1,2,2,2,2,0,NA,NA,29
6614,NA,NA,NA,NA,NA,NA,NA,3,2,3,7,7,4,1,1,7,2,3,NA,1,1,7,2,3,1,5,1,5,5,2,5,1,1,2,2,2,2,5,5,2,3,3,5,1,5,5,5,1,3,5,2,3,3,1,2,1,1,13,8,NA,2,8,1,2671.387083,NA,NA,2,3,21,1,NA,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,62
6615,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,5,3,3,9,1,3,3,3,3,NA,1,5,4,1,1,1,1,1,5,2,5,2,2,1,1,3,2,2,5,1,2,1,1,4,1,1,1,1,1,1,3,3,4,1,1,9,3,5,6,4,1,6901.368507,5,5,2,5,19,1,3,4,2,2,1,1,4,1,2,2,2,2,NA,1,41
6616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,5,5,1,3,1,5,1,2,4,1,5,3,1,3,3,2,3,3,5,5,5,5,5,3,5,4,3,3,3,3,7,1,5,NA,NA,2,2347.363997,480,480,2,5,20,2,1,4,0,0,1,1,2,2,1,2,2,1,3,NA,31
6617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,2,2,2,4,5,1,2,2,4,2,4,5,2,2,3,5,4,2,5,2,2,4,4,4,4,3,5,4,3,3,9,7,NA,5,NA,2,5123.810301,60,60,1,3,24,1,2,4,1,1,1,1,5,1,2,2,2,0,NA,NA,42
6618,1,1,1,3,1,1,8,1,1,2,1,1,4,1,3,8,2,3,3,3,3,9,1,5,1,1,1,4,4,1,1,1,1,4,1,4,4,4,4,1,1,4,4,1,1,3,5,1,3,4,4,4,5,4,4,4,4,7,4,NA,6,6,1,4006.944389,45,45,2,8,18,1,1,4,1,1,1,1,4,2,1,2,2,2,3,3,34
6619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,1,1,2,2,1,2,3,4,2,5,5,3,1,2,5,1,1,1,5,9,3,5,2,1,3,5,1,1,1,5,4,6,4,NA,2,5312.377652,NA,NA,2,6,NA,1,2,1,NA,NA,NA,NA,5,1,2,2,2,0,NA,NA,20
6620,8,3,7,3,8,2,7,3,1,3,3,4,3,4,2,9,3,3,3,2,3,6,1,4,1,5,1,2,2,4,2,3,2,2,4,4,4,4,5,2,2,3,4,1,4,5,4,4,2,5,5,5,4,4,4,1,3,8,7,1,6,8,1,3800.031597,45,45,2,3,19,1,2,4,1,1,1,1,4,2,1,2,2,1,3,3,35
6621,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,5,3,1,3,10,3,3,NA,3,3,NA,1,5,2,1,3,2,2,1,3,1,5,1,1,1,1,1,5,1,1,3,3,1,2,3,2,3,3,1,1,1,4,5,5,3,5,16,3,NA,6,2,1,3866.428873,NA,NA,1,7,20,1,3,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,76
6622,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,5,3,9,3,3,NA,3,3,8,1,5,2,2,2,1,1,1,4,4,5,1,1,2,2,5,5,3,5,1,3,1,1,1,2,2,4,1,2,3,3,5,5,1,3,14,2,2,2,4,1,4030.125687,NA,NA,2,7,21,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,3,66
6623,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,3,3,1,5,3,3,NA,3,3,NA,1,3,3,1,3,1,1,1,5,5,5,1,1,3,3,5,5,2,3,3,2,1,1,3,1,1,1,2,3,5,3,5,5,1,3,16,2,NA,NA,2,1,3778.130628,NA,NA,2,7,4,6,0,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,77
6624,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,5,5,3,10,3,3,NA,3,3,NA,1,5,1,2,1,2,2,1,2,2,1,1,3,2,4,5,5,4,5,3,5,4,2,3,4,2,4,4,3,4,2,5,4,1,1,12,1,NA,6,1,1,4199.442621,NA,NA,2,7,20,1,4,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,59
6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,1,1,1,5,1,1,1,1,2,1,5,5,2,1,5,5,5,1,5,1,1,1,5,1,1,2,5,5,1,1,8,1,NA,6,NA,2,2111.236771,3,9999,2,5,23,1,5,4,2,0,1,1,2,2,1,2,1,1,3,NA,35
6626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,1,3,4,5,1,1,1,1,5,5,1,1,2,5,5,1,5,2,9,9,1,1,5,1,5,5,5,4,15,2,1,1,NA,2,2771.846923,NA,NA,2,8,22,1,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,74
6627,NA,NA,NA,NA,NA,NA,NA,97,1,1,1,1,2,1,1,10,1,1,NA,1,3,5,1,2,1,5,1,1,2,1,2,3,5,1,2,1,1,3,4,2,5,1,5,1,2,5,5,4,5,5,5,5,3,5,5,3,3,14,2,1,1,2,1,3873.276656,NA,NA,2,7,14,1,1,4,NA,NA,2,2,3,2,2,2,2,0,NA,1,65
6628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,1,5,5,1,4,3,2,2,2,2,2,3,5,2,3,5,5,1,3,3,5,3,2,5,5,5,4,5,5,3,2,8,8,NA,5,NA,2,1636.474696,45,NA,2,4,25,1,2,4,1,NA,1,2,1,2,2,2,2,0,NA,NA,37
6629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,1,1,1,5,3,5,1,1,2,2,5,5,2,5,2,5,1,1,5,1,1,3,3,3,3,5,5,5,5,5,16,6,NA,5,NA,2,4775.908185,NA,NA,2,7,28,1,1,4,NA,NA,2,2,1,2,2,2,2,0,NA,NA,75
6630,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,5,3,2,9,3,3,NA,3,3,NA,2,5,1,1,1,2,2,1,2,1,2,3,2,4,1,4,4,1,3,3,5,1,1,5,2,2,3,5,5,5,3,3,3,3,3,6,8,5,4,8,1,6404.786063,60,60,2,5,20,1,1,4,1,1,1,1,3,2,2,2,1,0,NA,3,26
6631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,2,2,2,2,3,1,3,2,2,3,3,4,5,2,4,3,3,1,3,4,4,4,3,3,1,2,4,1,1,1,1,12,8,NA,3,NA,2,6885.8576,NA,NA,2,4,18,1,3,4,NA,NA,2,2,2,1,2,2,2,2,NA,NA,55
6632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,3,1,5,1,5,5,1,5,1,5,1,5,5,1,5,5,2,1,3,5,3,1,5,1,1,3,5,1,3,5,5,5,1,1,7,4,5,5,NA,2,3281.37954,3,75,1,5,18,4,2,4,2,0,1,1,1,2,2,2,2,0,NA,NA,32
